[2021-06-03T22:12:39.172-0800][gc,start    ] GC(228) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:12:39.173-0800][gc,task     ] GC(228) Using 10 workers of 10 for evacuation
[2021-06-03T22:12:39.177-0800][gc,phases   ] GC(228)   Pre Evacuate Collection Set: 0.1ms
[2021-06-03T22:12:39.177-0800][gc,phases   ] GC(228)   Merge Heap Roots: 0.1ms
[2021-06-03T22:12:39.177-0800][gc,phases   ] GC(228)   Evacuate Collection Set: 3.3ms
[2021-06-03T22:12:39.177-0800][gc,phases   ] GC(228)   Post Evacuate Collection Set: 0.5ms
[2021-06-03T22:12:39.177-0800][gc,phases   ] GC(228)   Other: 0.8ms
[2021-06-03T22:12:39.177-0800][gc,heap     ] GC(228) Eden regions: 254->0(255)
[2021-06-03T22:12:39.177-0800][gc,heap     ] GC(228) Survivor regions: 2->1(32)
[2021-06-03T22:12:39.177-0800][gc,heap     ] GC(228) Old regions: 48->48
[2021-06-03T22:12:39.177-0800][gc,heap     ] GC(228) Archive regions: 2->2
[2021-06-03T22:12:39.177-0800][gc,heap     ] GC(228) Humongous regions: 164->164
[2021-06-03T22:12:39.177-0800][gc,metaspace] GC(228) Metaspace: 69395K(71344K)->69395K(71344K) NonClass: 61573K(62896K)->61573K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:12:39.177-0800][gc          ] GC(228) Pause Young (Normal) (G1 Evacuation Pause) 467M->213M(512M) 5.049ms
[2021-06-03T22:12:39.177-0800][gc,cpu      ] GC(228) User=0.01s Sys=0.00s Real=0.00s
[2021-06-03T22:14:59.255-0800][gc,start    ] GC(229) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:14:59.256-0800][gc,task     ] GC(229) Using 10 workers of 10 for evacuation
[2021-06-03T22:14:59.259-0800][gc,phases   ] GC(229)   Pre Evacuate Collection Set: 0.2ms
[2021-06-03T22:14:59.259-0800][gc,phases   ] GC(229)   Merge Heap Roots: 0.1ms
[2021-06-03T22:14:59.259-0800][gc,phases   ] GC(229)   Evacuate Collection Set: 1.8ms
[2021-06-03T22:14:59.259-0800][gc,phases   ] GC(229)   Post Evacuate Collection Set: 0.5ms
[2021-06-03T22:14:59.259-0800][gc,phases   ] GC(229)   Other: 0.8ms
[2021-06-03T22:14:59.259-0800][gc,heap     ] GC(229) Eden regions: 255->0(255)
[2021-06-03T22:14:59.259-0800][gc,heap     ] GC(229) Survivor regions: 1->1(32)
[2021-06-03T22:14:59.259-0800][gc,heap     ] GC(229) Old regions: 48->48
[2021-06-03T22:14:59.259-0800][gc,heap     ] GC(229) Archive regions: 2->2
[2021-06-03T22:14:59.259-0800][gc,heap     ] GC(229) Humongous regions: 164->164
[2021-06-03T22:14:59.259-0800][gc,metaspace] GC(229) Metaspace: 69396K(71344K)->69396K(71344K) NonClass: 61574K(62896K)->61574K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:14:59.259-0800][gc          ] GC(229) Pause Young (Normal) (G1 Evacuation Pause) 468M->213M(512M) 3.538ms
[2021-06-03T22:14:59.259-0800][gc,cpu      ] GC(229) User=0.01s Sys=0.00s Real=0.00s
[2021-06-03T22:17:17.404-0800][gc,start    ] GC(230) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:17:17.405-0800][gc,task     ] GC(230) Using 10 workers of 10 for evacuation
[2021-06-03T22:17:17.411-0800][gc,phases   ] GC(230)   Pre Evacuate Collection Set: 0.2ms
[2021-06-03T22:17:17.412-0800][gc,phases   ] GC(230)   Merge Heap Roots: 0.1ms
